Date,Easting,Northing,Depth
02122020,362306,3970806,36
02122020,362303,3970805,35
02122020,362301,3970805,29
02122020,362298,3970804,27
02122020,362295,3970803,28
02122020,362293,3970802,36
02122020,362290,3970802,27
02122020,362287,3970801,38
02122020,362284,3970800,42
02122020,362282,3970799,53
02122020,362279,3970799,63
02122020,362276,3970798,64
02122020,362274,3970797,66
02122020,362271,3970796,68
02122020,362268,3970796,72
02122020,362266,3970795,79
02122020,362263,3970794,59
02122020,362260,3970793,41
02122020,362257,3970793,48
02122020,362255,3970792,41
02122020,362252,3970791,22
02122020,362249,3970790,11
02122020,362247,3970790,10
02122020,362244,3970789,8
02202020,362649,3969309,38
02202020,362647,3969307,52
02202020,362645,3969304,66
02202020,362643,3969302,80
02202020,362642,3969300,80
02202020,362640,3969297,84
02202020,362638,3969295,73
02202020,362636,3969293,68
02202020,362634,3969290,68
02202020,362632,3969288,65
02202020,362630,3969286,61
02202020,362628,3969284,58
02202020,362627,3969281,62
02202020,362625,3969279,46
02202020,362623,3969277,48
02202020,362621,3969274,53
02202020,362619,3969272,52
02202020,362617,3969270,59
02202020,362615,3969267,54
02202020,362613,3969265,50
02202020,362612,3969263,47
02202020,362610,3969260,45
02202020,362608,3969258,54
02202020,362606,3969256,56
02202020,362604,3969253,63
02202020,362602,3969251,65
02202020,362600,3969249,60
02202020,362598,3969247,61
02202020,362597,3969244,49
02202020,362595,3969242,62
02202020,362593,3969240,58
02202020,362591,3969237,50
02202020,362589,3969235,59
02202020,362587,3969233,56
02202020,362585,3969230,59
02202020,362584,3969228,57
02202020,362582,3969226,21
02202020,362580,3969223,39
02202020,362578,3969221,43
02202020,362576,3969219,50
02202020,362574,3969216,66
02202020,362572,3969214,70
02202020,362570,3969212,66
02202020,362569,3969209,30
02202020,362567,3969207,44
02202020,362565,3969205,55
02202020,362563,3969203,51
02202020,362561,3969200,35
02202020,362559,3969198,48
02202020,362557,3969196,66
02202020,362555,3969193,86
02202020,362554,3969191,88
02202020,362552,3969189,63
02202020,362550,3969186,57
02202020,362548,3969184,46
02202020,362882,3968984,15
02202020,362885,3968986,36
02202020,362887,3968988,48
02202020,362890,3968989,59
02202020,362892,3968991,61
02202020,362895,3968993,57
02202020,362898,3968995,50
02202020,362900,3968996,47
02202020,362903,3968998,39
02202020,362906,3969000,59
02202020,362908,3969002,53
02202020,362911,3969003,54
